"title","description","starter_code","test_cases","skill_tags","difficulty"
"Binary Search — DSA #15","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","easy"
"Kth Smallest Element — DSA #16","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","medium"
"Valid Parentheses — DSA #17","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Longest Increasing Subsequence — DSA #18","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","medium"
"Top K Frequent Elements — DSA #19","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","medium"
"Rotate Array — DSA #20","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","medium"
"Two Sum Variant — DSA #21","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #22","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","easy"
"Detect Cycle in Linked List — DSA #23","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Merge Two Sorted Lists — DSA #24","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","medium"
"Binary Search — DSA #25","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","medium"
"Kth Smallest Element — DSA #26","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","easy"
"Valid Parentheses — DSA #27","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Longest Increasing Subsequence — DSA #28","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","hard"
"Top K Frequent Elements — DSA #29","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","hard"
"Rotate Array — DSA #30","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","easy"
"Two Sum Variant — DSA #31","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #32","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Detect Cycle in Linked List — DSA #33","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","hard"
"Merge Two Sorted Lists — DSA #34","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","medium"
"Binary Search — DSA #35","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","medium"
"Kth Smallest Element — DSA #36","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","easy"
"Valid Parentheses — DSA #37","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Longest Increasing Subsequence — DSA #38","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","easy"
"Top K Frequent Elements — DSA #39","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","medium"
"Rotate Array — DSA #40","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","hard"
"Two Sum Variant — DSA #41","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #42","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Detect Cycle in Linked List — DSA #43","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Merge Two Sorted Lists — DSA #44","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","medium"
"Binary Search — DSA #45","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","medium"
"Kth Smallest Element — DSA #46","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","easy"
"Valid Parentheses — DSA #47","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Longest Increasing Subsequence — DSA #48","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","medium"
"Top K Frequent Elements — DSA #49","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","easy"
"Rotate Array — DSA #50","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","hard"
"Two Sum Variant — DSA #51","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #52","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","easy"
"Detect Cycle in Linked List — DSA #53","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","medium"
"Merge Two Sorted Lists — DSA #54","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","hard"
"Binary Search — DSA #55","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","easy"
"Kth Smallest Element — DSA #56","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","medium"
"Valid Parentheses — DSA #57","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","medium"
"Longest Increasing Subsequence — DSA #58","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","medium"
"Top K Frequent Elements — DSA #59","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","medium"
"Rotate Array — DSA #60","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","medium"
"Two Sum Variant — DSA #61","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #62","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Detect Cycle in Linked List — DSA #63","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","hard"
"Merge Two Sorted Lists — DSA #64","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","easy"
"Binary Search — DSA #65","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","easy"
"Kth Smallest Element — DSA #66","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","medium"
"Valid Parentheses — DSA #67","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Longest Increasing Subsequence — DSA #68","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","easy"
"Top K Frequent Elements — DSA #69","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","easy"
"Rotate Array — DSA #70","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","easy"
"Two Sum Variant — DSA #71","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","easy"
"Reverse Linked List — DSA #72","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","hard"
"Detect Cycle in Linked List — DSA #73","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","medium"
"Merge Two Sorted Lists — DSA #74","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","medium"
"Binary Search — DSA #75","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","easy"
"Kth Smallest Element — DSA #76","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","medium"
"Valid Parentheses — DSA #77","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","medium"
"Longest Increasing Subsequence — DSA #78","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","medium"
"Top K Frequent Elements — DSA #79","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","easy"
"Rotate Array — DSA #80","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","easy"
"Two Sum Variant — DSA #81","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #82","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","easy"
"Detect Cycle in Linked List — DSA #83","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Merge Two Sorted Lists — DSA #84","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","medium"
"Binary Search — DSA #85","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","medium"
"Kth Smallest Element — DSA #86","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","medium"
