title,description,starter_code,test_cases,skill_tags,difficulty
Api Problem — f9b0,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",medium
Algorithm Problem — c06d,Write a algorithm function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Sql Problem — 0f51,Write a sql function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Algorithm Problem — 4700,Write a algorithm function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Web Problem — 526c,Write a web function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Dsa Problem — 0ca3,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Git Problem — 31da,Write a git function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",medium
Java Problem — 4203,Write a java function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Detect Cycle in Linked List — DSA #3,"Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","['python', 'dsa', 'algorithms', 'logic']",medium
Data Structures Problem — da8a,Write a data structures function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Data Cleaning Pipeline — Data/ML #1,"Given raw CSV with missing values and inconsistent types, design cleaning steps and implement them. Provide code + explanation and complexity where applicable.","import pandas as pd
from sklearn.model_selection import train_test_split

def solve(path_to_csv):
    # load and implement
    pass

if __name__ == '__main__':
    pass","[{""input"": ""sample.csv"", ""output"": ""metrics_or_output""}]","['python', 'pandas', 'ml', 'data-engineering', 'sklearn']",hard
Django Problem — 1c9d,Write a django function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Rotate Array — DSA #10,Rotate an array to the right by k steps. Provide optimal time and space complexity.,"def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","['python', 'dsa', 'algorithms', 'logic']",easy
Python Problem — 55ff,Write a python function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"def solution():
    pass","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Strings Problem — 300e,Write a strings function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Ml Problem — 6e0e,Write a ml function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Pandas Problem — d414,Write a pandas function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Ml Problem — f2a9,Write a ml function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Model Explainability — Data/ML #8,Generate SHAP-style explanations for model predictions. Provide code + explanation and complexity where applicable.,"import pandas as pd
from sklearn.model_selection import train_test_split

def solve(path_to_csv):
    # load and implement
    pass

if __name__ == '__main__':
    pass","[{""input"": ""sample.csv"", ""output"": ""metrics_or_output""}]","['python', 'pandas', 'ml', 'data-engineering', 'sklearn']",easy
Api Problem — 056c,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Two Sum Variant — DSA #1,"Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","['python', 'dsa', 'algorithms', 'logic']",easy
LRU Cache — Python #2,Implement an LRU Cache with get and put operations. Aim for idiomatic Python solutions and tests.,"def solve(*args, **kwargs):
    # write your Python implementation here
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2|get(1),put(1,1),put(2,2),get(1),put(3,3),get(2)"", ""output"": ""1,-1, -1""}]","['python', 'oop', 'modules', 'threads', 'regex']",medium
Batch Inference — Data/ML #7,Design batch inference pipeline that scales for 1M records. Provide code + explanation and complexity where applicable.,"import pandas as pd
from sklearn.model_selection import train_test_split

def solve(path_to_csv):
    # load and implement
    pass

if __name__ == '__main__':
    pass","[{""input"": ""sample.csv"", ""output"": ""metrics_or_output""}]","['python', 'pandas', 'ml', 'data-engineering', 'sklearn']",easy
Authentication Flow — Web/Backend #3,"Implement token-based authentication for login and protected endpoints. Focus on correctness, security and edge cases.","from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/')
def index():
    return jsonify({""status"":""ok""})

# implement endpoints

if __name__ == '__main__':
    app.run()","[{""input"": ""POST /posts?page=1"", ""output"": ""200 list""}, {""input"": ""POST /posts?page=1000"", ""output"": ""[]""}]","['python', 'flask', 'api', 'web', 'security']",medium
Python Problem — f7de,Write a python function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"def solution():
    pass","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Java Problem — 5495,Write a java function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Sql Problem — 899c,Write a sql function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Feature Engineering — Data/ML #2,Create features for time-series forecasting using lag and rolling stats. Provide code + explanation and complexity where applicable.,"import pandas as pd
from sklearn.model_selection import train_test_split

def solve(path_to_csv):
    # load and implement
    pass

if __name__ == '__main__':
    pass","[{""input"": ""sample.csv"", ""output"": ""metrics_or_output""}]","['python', 'pandas', 'ml', 'data-engineering', 'sklearn']",easy
Django Problem — ba9f,Write a django function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Java Problem — 91b7,Write a java function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Sql Problem — a37d,Write a sql function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Thread-safe Counter — Python #9,Implement a thread-safe counter using locks. Aim for idiomatic Python solutions and tests.,"def solve(*args, **kwargs):
    # write your Python implementation here
    pass

if __name__ == '__main__':
    pass","[{""input"": ""calls in parallel"", ""output"": ""counter==n""}]","['python', 'oop', 'modules', 'threads', 'regex']",hard
Binary Search — DSA #5,Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.,"def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","['python', 'dsa', 'algorithms', 'logic']",medium
Flask Problem — 9746,Write a flask function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Linux Problem — 8a6e,Write a linux function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
Strings Problem — b616,Write a strings function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Dsa Problem — 7389,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Backend Problem — 1627,Write a backend function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Java Problem — b89c,Write a java function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
SQL + API Integration — Mixed #5,Return paginated SQL results via an API endpoint. Provide a concise but production-ready solution and edge-case handling.,"// pseudo code for integration
// SQL + API
","[{""input"": ""input sample"", ""output"": ""expected sample""}]","['sql', 'api', 'integration']",medium
Git Problem — 5650,Write a git function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
C Problem — 20df,Write a c function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Arrays Problem — 24d1,Write a arrays function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Dsa Problem — 21a1,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Dsa Problem — 293b,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Strings Problem — 6e9e,Write a strings function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Data Structures Problem — 3215,Write a data structures function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Dsa Problem — e430,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Strings Problem — c74e,Write a strings function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Arrays Problem — 3043,Write a arrays function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Algorithm Problem — 5347,Write a algorithm function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Python Problem — d34c,Write a python function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"def solution():
    pass","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Web Problem — 58c0,Write a web function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
Backend Problem — 9b50,Write a backend function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
Flask Problem — 674c,Write a flask function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Sql Problem — 5f3f,Write a sql function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Backend Problem — 021f,Write a backend function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
Python Problem — e4f4,Write a python function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"def solution():
    pass","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Algorithm Problem — 61b8,Write a algorithm function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Python Problem — 10ee,Write a python function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"def solution():
    pass","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Api Problem — a1f4,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
SQL for ETL — Data/ML #6,Write SQL to transform raw events into a user-level aggregated table. Provide code + explanation and complexity where applicable.,"import pandas as pd
from sklearn.model_selection import train_test_split

def solve(path_to_csv):
    # load and implement
    pass

if __name__ == '__main__':
    pass","[{""input"": ""sample.csv"", ""output"": ""metrics_or_output""}]","['python', 'pandas', 'ml', 'data-engineering', 'sklearn']",hard
Recursion Problem — daf1,Write a recursion function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Recursion Problem — 7e67,Write a recursion function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Recursion Problem — 2fa1,Write a recursion function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Backend Problem — 3dcb,Write a backend function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Recursion Problem — 7aba,Write a recursion function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Algorithm Problem — 8714,Write a algorithm function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Git Problem — 7e7c,Write a git function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Logic Problem — 6b6a,Write a logic function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Api Problem — bc22,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Python Problem — e018,Write a python function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"def solution():
    pass","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Git Problem — fca1,Write a git function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
CSV Parser — Python #6,Parse a CSV and return rows as lists handling quotes and escapes. Aim for idiomatic Python solutions and tests.,"def solve(*args, **kwargs):
    # write your Python implementation here
    pass

if __name__ == '__main__':
    pass","[{""input"": ""a,b,\""c, d\"",e"", ""output"": ""[a,b,c d,e]""}]","['python', 'oop', 'modules', 'threads', 'regex']",easy
